Survived,Pclass,Sex,Age,SibSp,Parch,Fare,is_Alone,Embarked,Fare_bin,Cabin_location,Family_size,Title,age_bin
0.0,3,0,22.0,1,0,7.25,0,S,cheap,n,medium,Mr,adult
1.0,1,1,38.0,1,0,71.2833,0,C,very_high,C,medium,Mrs,adult
1.0,3,1,26.0,0,0,7.925,1,S,cheap,n,single,Miss,adult
1.0,1,1,35.0,1,0,53.1,0,S,high,C,medium,Mrs,adult
0.0,3,0,35.0,0,0,8.05,1,S,medium,n,single,Mr,adult
0.0,3,0,30.0,0,0,8.4583,1,Q,medium,n,single,Mr,adult
0.0,1,0,54.0,0,0,51.8625,1,S,high,E,single,Mr,elderly
0.0,3,0,2.0,3,1,21.075,0,S,medium,n,large,Master,baby
1.0,3,1,27.0,0,2,11.1333,0,S,medium,n,medium,Mrs,adult
1.0,2,1,14.0,1,0,30.0708,0,C,medium,n,medium,Mrs,young
1.0,3,1,4.0,1,1,16.7,0,S,medium,G,medium,Miss,baby
1.0,1,1,58.0,0,0,26.55,1,S,medium,C,single,Miss,elderly
0.0,3,0,20.0,0,0,8.05,1,S,medium,n,single,Mr,young
0.0,3,0,39.0,1,5,31.275,0,S,high,n,large,Mr,adult
0.0,3,1,14.0,0,0,7.8542,1,S,cheap,n,single,Miss,young
1.0,2,1,55.0,0,0,16.0,1,S,medium,n,single,Mrs,elderly
0.0,3,0,2.0,4,1,29.125,0,Q,medium,n,large,Master,baby
1.0,2,0,33.0,0,0,13.0,1,S,medium,n,single,Mr,adult
0.0,3,1,31.0,1,0,18.0,0,S,medium,n,medium,Mrs,adult
1.0,3,1,26.0,0,0,7.225,1,C,cheap,n,single,Mrs,adult
0.0,2,0,35.0,0,0,26.0,1,S,medium,n,single,Mr,adult
1.0,2,0,34.0,0,0,13.0,1,S,medium,D,single,Mr,adult
1.0,3,1,15.0,0,0,8.0292,1,Q,medium,n,single,Miss,young
1.0,1,0,28.0,0,0,35.5,1,S,high,A,single,Mr,adult
0.0,3,1,8.0,3,1,21.075,0,S,medium,n,large,Miss,baby
1.0,3,1,38.0,1,5,31.3875,0,S,high,n,large,Mrs,adult
0.0,3,0,27.0,0,0,7.225,1,C,cheap,n,single,Mr,adult
0.0,1,0,19.0,3,2,263.0,0,S,very_high,C,large,Mr,young
1.0,3,1,24.0,0,0,7.8792,1,Q,cheap,n,single,Miss,adult
0.0,3,0,29.0,0,0,7.8958,1,S,cheap,n,single,Mr,adult
0.0,1,0,40.0,0,0,27.7208,1,C,medium,n,single,Other_t,adult
1.0,1,1,40.0,1,0,146.5208,0,C,very_high,B,medium,Mrs,adult
1.0,3,1,24.0,0,0,7.75,1,Q,cheap,n,single,Miss,adult
0.0,2,0,66.0,0,0,10.5,1,S,medium,n,single,Mr,elderly
0.0,1,0,28.0,1,0,82.1708,0,C,very_high,n,medium,Mr,adult
0.0,1,0,42.0,1,0,52.0,0,S,high,n,medium,Mr,adult
